politics,category,value
Dem,Percent of Mask Wearers,95.08710245
Gop,Percent of Mask Wearers,90.7024693
Dem,Percent of Others Who Wear Masks,90.1346909
Gop,Percent of Others Who Wear Masks,78.6710392
Dem,Percent of Others Who Attended a Large Indoor Event,8.61617435
Gop,Percent of Others Who Attended a Large Indoor Event,12.824753
Dem,Percent of Other who Would Get or Have Gotten the Vaccine,86.34276475
Gop,Percent of Other who Would Get or Have Gotten the Vaccine,81.521855
